T(K)	eta(cP)
150.00	9.4489
155.00	7.2424
160.00	5.6954
165.00	4.5752
170.00	3.7427
175.00	3.1107
180.00	2.6217
185.00	2.2374
190.00	1.9310
195.00	1.6835
200.00	1.4811
205.00	1.3139
210.00	1.1742
215.00	1.0565
220.00	0.95647
225.00	0.87067
230.00	0.79652
235.00	0.73197
240.00	0.67539
245.00	0.62548
250.00	0.58120
255.00	0.54167
260.00	0.50622
265.00	0.47426
270.00	0.44533
275.00	0.41902
280.00	0.39501
285.00	0.37301
290.00	0.35280
295.00	0.33417
300.00	0.31694
305.00	0.30098
310.00	0.28614
315.00	0.27233
320.00	0.25943
325.00	0.24737
330.00	0.23607
335.00	0.22546
340.00	0.21548
345.00	0.20608
350.00	0.19722
355.00	0.18884
360.00	0.18090
365.00	0.17339
370.00	0.16625
375.00	0.15946
380.00	0.15300
385.00	0.14684
390.00	0.14095
395.00	0.13532
400.00	0.12992
405.00	0.12474
410.00	0.11975
415.00	0.11495
420.00	0.11031
425.00	0.10581
430.00	0.10145
435.00	0.097205
440.00	0.093063
445.00	0.089006
450.00	0.085019
455.00	0.081082
460.00	0.077176
465.00	0.073273
470.00	0.069344
475.00	0.065344
480.00	0.061209
485.00	0.056832
490.00	0.052002
495.00	0.046156
500.00	0.035517
