T(K)	eta(cP)
270.00	2.4471
275.00	2.1697
280.00	1.9386
285.00	1.7440
290.00	1.5785
295.00	1.4365
300.00	1.3137
305.00	1.2067
310.00	1.1129
315.00	1.0302
320.00	0.95686
325.00	0.89150
330.00	0.83298
335.00	0.78035
340.00	0.73282
345.00	0.68973
350.00	0.65053
355.00	0.61473
360.00	0.58193
365.00	0.55180
370.00	0.52402
375.00	0.49834
380.00	0.47454
385.00	0.45243
390.00	0.43183
395.00	0.41259
400.00	0.39459
405.00	0.37770
410.00	0.36182
415.00	0.34687
420.00	0.33276
425.00	0.31942
430.00	0.30678
435.00	0.29479
440.00	0.28340
445.00	0.27255
450.00	0.26221
455.00	0.25234
460.00	0.24290
465.00	0.23386
470.00	0.22520
475.00	0.21688
480.00	0.20889
485.00	0.20120
490.00	0.19379
495.00	0.18664
500.00	0.17975
505.00	0.17308
510.00	0.16663
515.00	0.16039
520.00	0.15433
525.00	0.14846
530.00	0.14276
535.00	0.13721
540.00	0.13182
545.00	0.12657
550.00	0.12146
555.00	0.11647
560.00	0.11160
565.00	0.10684
570.00	0.10219
575.00	0.097636
580.00	0.093177
585.00	0.088806
590.00	0.084516
595.00	0.080302
600.00	0.076158
605.00	0.072076
610.00	0.068050
615.00	0.064072
620.00	0.060131
625.00	0.056214
630.00	0.052302
635.00	0.048366
640.00	0.044359
645.00	0.040189
650.00	0.035652
