T (K)	eta (cP)
91	1.258
95	1.0713
96	1.0309
97	0.99276
98	0.95663
99	0.92241
100	0.88999
101	0.85925
102	0.83008
103	0.8024
104	0.7761
105	0.75111
106	0.72735
107	0.70473
108	0.6832
109	0.66269
110	0.64314
111	0.62449
112	0.6067
113	0.58971
114	0.57348
115	0.55797
116	0.54314
117	0.52894
118	0.51535
119	0.50233
120	0.48985
121	0.47789
122	0.46641
123	0.45538
124	0.4448
125	0.43463
126	0.42485
127	0.41544
128	0.40638
129	0.39766
130	0.38926
131	0.38116
132	0.37335
133	0.36582
134	0.35854
135	0.35151
136	0.34473
137	0.33816
138	0.33181
139	0.32567
140	0.31972
141	0.31396
142	0.30838
143	0.30297
144	0.29772
145	0.29263
146	0.28768
147	0.28288
148	0.27822
149	0.27369
150	0.26928
151	0.26499
152	0.26082
153	0.25675
154	0.2528
155	0.24894
156	0.24518
157	0.24152
158	0.23795
159	0.23446
160	0.23106
161	0.22773
162	0.22449
163	0.22131
164	0.21821
165	0.21518
166	0.21222
167	0.20932
168	0.20648
169	0.2037
170	0.20098
171	0.19831
172	0.1957
173	0.19314
174	0.19063
175	0.18817
176	0.18576
177	0.18339
178	0.18106
179	0.17878
180	0.17654
181	0.17434
182	0.17218
183	0.17005
184	0.16797
185	0.16591
186	0.1639
187	0.16191
188	0.15996
189	0.15804
190	0.15615
191	0.15429
192	0.15246
193	0.15066
194	0.14888
195	0.14714
196	0.14541
197	0.14372
198	0.14204
199	0.1404
200	0.13877
201	0.13717
202	0.13559
203	0.13403
204	0.1325
205	0.13098
206	0.12949
207	0.12801
208	0.12656
209	0.12512
210	0.1237
211	0.1223
212	0.12091
213	0.11955
214	0.1182
215	0.11687
216	0.11555
217	0.11425
218	0.11296
219	0.11169
220	0.11043
221	0.10919
222	0.10796
223	0.10675
224	0.10555
225	0.10436
226	0.10319
227	0.10203
228	0.10088
229	0.099742
230	0.098617
231	0.097503
232	0.096401
233	0.09531
234	0.09423
235	0.093161
236	0.092103
237	0.091054
238	0.090016
239	0.088987
240	0.087968
241	0.086959
242	0.085958
243	0.084967
244	0.083984
245	0.08301
246	0.082045
247	0.081087
248	0.080138
249	0.079196
250	0.078262
251	0.077335
252	0.076415
253	0.075503
254	0.074597
255	0.073698
256	0.072805
257	0.071918
258	0.071038
259	0.070163
260	0.069294
261	0.06843
262	0.067571
263	0.066717
264	0.065868
265	0.065024
266	0.064183
267	0.063347
268	0.062514
269	0.061685
270	0.06086
271	0.060037
272	0.059217
273	0.058399
274	0.057583
275	0.056769
276	0.055956
277	0.055144
278	0.054333
279	0.053522
280	0.05271
281	0.051898
282	0.051083
283	0.050267
284	0.049448
285	0.048625
286	0.047797
287	0.046964
288	0.046125
289	0.045278
290	0.044421
291	0.043553
292	0.042673
293	0.041777
294	0.040863
295	0.039926
296	0.038964
297	0.037969
298	0.036934
299	0.035849
300	0.034698
301	0.033459
302	0.032091
303	0.030524
304	0.028585
305	0.025666
