T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
293	0.83316	500.28		0.10255
293	1	500.76		0.10289
293	10	521.43		0.11919
293	25	545.01		0.14224
293	50	572.08		0.17659
293	100	608.25		0.24169
293	150	633.97		0.30778
293	200	654.37		0.37722
293	250	671.5		0.45105
293	300	686.36		0.52989
293	350	699.56		0.61417
293	400	711.47		0.70425
293	450	722.36		0.80042
293	500	732.41		0.90295
293	550	741.75		1.0121
293	600	750.5		1.1281
293	650	758.73		1.2512
293	700	766.51		1.3817
293	750	773.9		1.5197
293	800	780.94		1.6655
293	850	787.66		1.8193
293	900	794.1		1.9813
293	950	800.28		2.1519
293	1000	806.23		2.3311
293	1050	811.96		2.5193
293	1100	817.49		2.7166
293	1150	822.84		2.9234
293	1200	828.03		3.1398
293	1250	833.06		3.3661
293	1300	837.94		3.6025
293	1350	842.68		3.8492
293	1400	847.3		4.1066
293	1450	851.8		4.3749
293	1500	856.18		4.6543

