T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
293.00	0.20000	702.82	0.54569
293.00	1.0000	703.52	0.55032
293.00	5.0000	706.90	0.57364
293.00	10.000	710.91	0.60326
293.00	15.000	714.72	0.63345
293.00	20.000	718.34	0.66422
293.00	25.000	721.81	0.69560
293.00	30.000	725.12	0.72761
293.00	35.000	728.31	0.76027
293.00	40.000	731.38	0.79361
293.00	45.000	734.33	0.82763
293.00	50.000	737.19	0.86235
293.00	55.000	739.96	0.89780
293.00	60.000	742.64	0.93400
293.00	65.000	745.25	0.97095
293.00	70.000	747.78	1.0087
293.00	75.000	750.24	1.0472
293.00	80.000	752.64	1.0866
293.00	85.000	754.98	1.1267
293.00	90.000	757.26	1.1678
293.00	95.000	759.49	1.2097
293.00	100.00	761.67	1.2525
293.00	105.00	763.80	1.2962
