T(K)	eta(cP)	Uncertainty(cP)
273.15	0.8047	2.98E-02
280	0.7181	2.00E-02
290	0.6149	1.59E-02
300	0.5325	1.16E-02
310	0.4656	1.46E-02
320	0.4103	2.07E-02
330	0.3642	2.69E-02
340	0.3251	3.33E-02
350	0.2917	3.99E-02
360	0.2629	4.65E-02
370	0.2378	5.30E-02
380	0.2158	5.88E-02
390	0.1964	6.36E-02
400	0.1792	6.73E-02
410	0.1638	6.97E-02
420	0.1499	7.07E-02
430	0.1374	7.03E-02
440	0.1261	6.86E-02
450	0.1157	6.57E-02
460	0.1063	6.21E-02
470	0.0975	5.82E-02
480	0.0895	5.52E-02
490	0.082	5.46E-02
500	0.075	5.84E-02
510	0.0685	6.80E-02
520	0.0624	8.39E-02
530	0.0566	1.06E-01
