T(K) 	eta(cP)	uncertainty (cP)
270	1.9	2.6
280	1.48	1.32
290	1.181	0.81
300	0.958	0.612
310	0.79	0.501
320	0.661	0.409
330	0.56	0.328
340	0.48	0.26
350	0.415	0.209
360	0.363	0.172
370	0.32	0.147
380	0.285	0.131
390	0.255	0.12
400	0.229	0.111
410	0.208	0.102
420	0.1895	0.0928
430	0.1736	0.0841
440	0.1597	0.0761
450	0.1476	0.0695
460	0.1369	0.065
470	0.1274	0.063
480	0.1189	0.0629
490	0.1114	0.064
500	0.1046	0.0651
510	0.0985	0.0651
520	0.0929	0.0635
530	0.0878	0.0612
540	0.0831	0.0626
550	0.0787	0.0779
560	0.0747	0.117
