T(K)	P(kPa)	eta(Pa*s)	uncertainty(Pa*s)
273.14	10000	0.0004829	1.12E-05
273.15	1000	0.0004335	1.02E-05
273.15	20000	0.0005391	1.23E-05
273.15	35000	0.0006264	1.41E-05
273.16	5000	0.0004595	1.07E-05
273.16	25000	0.0005681	1.29E-05
273.16	40000	0.000656	1.47E-05
273.17	15000	0.0005077	1.17E-05
273.17	30000	0.0006022	1.36E-05
283.12	1000	0.0003904	9.40E-06
283.13	5000	0.0004095	9.80E-06
283.14	20000	0.0004823	1.12E-05
283.14	25000	0.000506	1.17E-05
283.14	30000	0.0005337	1.22E-05
283.14	35000	0.000559	1.27E-05
283.15	10000	0.0004294	1.02E-05
283.15	15000	0.0004568	1.07E-05
283.16	40000	0.000586	1.33E-05
293.14	15000	0.0004097	9.80E-06
293.14	20000	0.0004292	1.01E-05
293.15	1000	0.0003485	8.60E-06
293.15	5000	0.0003644	8.90E-06
293.15	10000	0.0003838	9.30E-06
293.15	25000	0.0004555	1.07E-05
293.15	30000	0.0004762	1.11E-05
293.15	35000	0.0005015	1.16E-05
293.15	40000	0.0005256	1.20E-05
303.13	25000	0.0004091	9.80E-06
303.15	30000	0.0004303	1.02E-05
303.15	35000	0.000452	1.06E-05
303.15	40000	0.0004719	1.10E-05
303.16	15000	0.000368	9.00E-06
303.16	20000	0.0003887	9.40E-06
303.17	5000	0.0003279	8.20E-06
303.17	10000	0.0003471	8.60E-06
303.18	1000	0.0003136	7.90E-06
313.13	15000	0.0003337	8.30E-06
313.13	25000	0.0003714	9.00E-06
313.14	1000	0.000282	7.30E-06
313.14	5000	0.0002963	7.60E-06
313.14	10000	0.0003151	8.00E-06
313.14	20000	0.0003528	8.70E-06
313.15	30000	0.0003915	9.40E-06
313.16	35000	0.00041	9.80E-06
313.16	40000	0.0004293	1.01E-05
323.16	15000	0.0003032	7.70E-06
323.16	20000	0.0003201	8.10E-06
323.16	25000	0.0003375	8.40E-06
323.16	30000	0.0003555	8.70E-06
323.16	35000	0.0003733	9.10E-06
323.16	40000	0.000392	9.40E-06
323.17	1000	0.000256	6.90E-06
323.17	5000	0.0002686	7.10E-06
323.17	10000	0.0002861	7.40E-06
333.15	20000	0.000294	7.60E-06
333.15	25000	0.0003102	7.90E-06
333.15	30000	0.0003275	8.20E-06
333.16	1000	0.0002331	6.50E-06
333.16	5000	0.000245	6.70E-06
333.16	10000	0.0002619	7.00E-06
333.16	15000	0.0002772	7.30E-06
333.16	35000	0.0003436	8.50E-06
333.16	40000	0.00036	8.80E-06
343.15	1000	0.0002132	6.10E-06
343.15	5000	0.0002244	6.30E-06
343.15	10000	0.0002396	6.60E-06
343.15	15000	0.000256	6.90E-06
343.15	20000	0.0002719	7.20E-06
343.15	25000	0.0002866	7.40E-06
343.15	30000	0.000302	7.70E-06
343.15	35000	0.0003173	8.00E-06
343.15	40000	0.0003304	8.20E-06
273.15	10.2271	0.000495	4.00E-06
288.141	20.5614	0.000409	3.80E-06
293.138	25.4682	0.000385	3.60E-06
298.136	31.2805	0.000361	3.50E-06
303.134	38.1128	0.000342	3.40E-06
250	2.85032	0.0007961	0.000546
340	132.911	0.0001801	0.000112
350	177.019	0.000162	0.000101
360	231.53	0.0001466	9.21E-05
370	297.921	0.0001334	8.47E-05
380	377.737	0.0001219	7.85E-05
390	472.595	0.000112	7.33E-05
400	584.189	0.0001033	6.89E-05
410	714.3	9.56E-05	6.52E-05
420	864.823	8.89E-05	6.21E-05
430	1037.79	8.29E-05	5.95E-05
440	1235.44	7.75E-05	5.73E-05
450	1460.26	7.28E-05	5.54E-05
460	1715.11	6.85E-05	5.38E-05
470	2003.43	6.46E-05	5.25E-05
480	2329.54	6.11E-05	5.14E-05
490	2699.5	5.79E-05	5.05E-05
500	3124.65	5.50E-05	4.98E-05
