T(K)	eta(Pa*s)	Uncertainty(Pa*s)
273.15	0.495	4.00E-03
288.141	0.409	3.80E-03
293.138	0.385	3.60E-03
298.136	0.361	3.50E-03
303.134	0.342	3.40E-03
250	0.7961	0.546
340	0.1801	0.112
350	0.162	0.101
360	0.1466	9.21E-02
370	0.1334	8.47E-02
380	0.1219	7.85E-02
390	0.112	7.33E-02
400	0.1033	6.89E-02
410	9.56E-02	6.52E-02
420	8.89E-02	6.21E-02
430	8.29E-02	5.95E-02
440	7.75E-02	5.73E-02
450	7.28E-02	5.54E-02
460	6.85E-02	5.38E-02
470	6.46E-02	5.25E-02
480	6.11E-02	5.14E-02
490	5.79E-02	5.05E-02
500	5.50E-02	4.98E-02

