T(K)	eta(Pa*s)	Uncertainty(Pa*s)
255.564	0.463029	6.98E-04
255.564	0.463029	6.98E-04
265.618	0.40872	6.20E-04
265.618	0.40872	6.20E-04
273.15	0.394	3.00E-03
273.15	0.394	3.00E-03
273.15	0.371031	1.36E-03
273.15	0.371031	1.36E-03
273.512	0.373242	5.45E-04
273.512	0.373242	5.45E-04
283.15	0.331728	2.83E-03
283.15	0.331728	2.83E-03
283.15	0.331728	2.83E-03
T (K)   eta (cP)	Uncertainty (cP)
283.15	0.331728	2.83E-03
283.309	0.335427	5.38E-04
283.309	0.335427	5.38E-04
288.141	0.339	3.00E-03
288.141	0.339	3.00E-03
293.131	0.303106	5.98E-04
293.131	0.303106	5.98E-04
293.138	0.299583	1.13E-03
293.138	0.299583	1.13E-03
298	0.288	5.00E-03
298	0.288	5.00E-03
298.136	0.307	2.80E-03
298.136	0.307	2.80E-03
298.15	0.283509	7.39E-03
298.15	0.283509	7.39E-03
298.15	0.2909	3.10E-03
298.15	0.2909	3.10E-03
298.15	0.288061	2.51E-03
298.15	0.288061	2.51E-03
298.15	0.288061	2.51E-03
298.15	0.288061	2.51E-03
302.74	0.276032	6.56E-04
302.74	0.276032	6.56E-04
303.134	0.292	2.60E-03
303.134	0.292	2.60E-03
312.339	0.252436	7.12E-04
312.339	0.252436	7.12E-04
313.13	0.246854	1.03E-03
313.13	0.246854	1.03E-03
313.15	0.250789	2.26E-03
313.15	0.250789	2.26E-03
313.15	0.250789	2.26E-03
313.15	0.250789	2.26E-03
322.154	0.231155	8.29E-04
322.154	0.231155	8.29E-04
332.718	0.210682	9.42E-04
332.718	0.210682	9.42E-04
337.424	0.20241	9.97E-04
337.424	0.20241	9.97E-04
360	0.1592	9.96E-02
370	0.1444	9.12E-02
380	0.1317	8.41E-02
390	0.1206	7.83E-02
400	0.111	7.33E-02
410	0.1026	6.91E-02
420	0.09511	6.56E-02
430	0.08852	6.26E-02
440	0.08265	6.01E-02
450	0.0774	5.80E-02
460	0.0727	5.62E-02
470	0.06846	5.47E-02
480	0.06463	5.34E-02
490	0.06116	5.24E-02
500	0.05801	5.15E-02
