T(K)	eta(cP)
300.00	2.9476
305.00	2.6359
310.00	2.3704
315.00	2.1429
320.00	1.9472
325.00	1.7777
330.00	1.6303
335.00	1.5014
340.00	1.3880
345.00	1.2878
350.00	1.1988
355.00	1.1192
360.00	1.0479
365.00	0.98358
370.00	0.92535
375.00	0.87240
380.00	0.82405
385.00	0.77975
390.00	0.73901
395.00	0.70143
400.00	0.66664
405.00	0.63436
410.00	0.60433
415.00	0.57631
420.00	0.55013
425.00	0.52560
430.00	0.50259
435.00	0.48096
440.00	0.46059
445.00	0.44139
450.00	0.42326
455.00	0.40612
460.00	0.38990
465.00	0.37454
470.00	0.35996
475.00	0.34613
480.00	0.33298
485.00	0.32048
490.00	0.30858
495.00	0.29725
500.00	0.28644
505.00	0.27613
510.00	0.26628
515.00	0.25687
520.00	0.24787
525.00	0.23925
530.00	0.23100
535.00	0.22309
540.00	0.21550
545.00	0.20822
550.00	0.20121
555.00	0.19448
560.00	0.18799
565.00	0.18175
570.00	0.17572
575.00	0.16990
580.00	0.16427
585.00	0.15883
590.00	0.15356
595.00	0.14845
600.00	0.14349
605.00	0.13866
610.00	0.13397
615.00	0.12939
620.00	0.12492
625.00	0.12055
630.00	0.11627
635.00	0.11208
640.00	0.10795
645.00	0.10389
650.00	0.099879
655.00	0.095914
660.00	0.091982
665.00	0.088071
670.00	0.084170
675.00	0.080262
680.00	0.076331
685.00	0.072353
690.00	0.068302
695.00	0.064136
700.00	0.059797
705.00	0.055188
710.00	0.050129
715.00	0.044199
720.00	0.035674
