T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
293.00	0.83316	500.28	0.10255
293.00	1.0000	500.76	0.10289
293.00	10.000	521.43	0.11919
293.00	25.000	545.01	0.14224
293.00	50.000	572.08	0.17659
293.00	75.000	592.08	0.20929
293.00	100.00	608.25	0.24169
293.00	125.00	621.97	0.27441
293.00	150.00	633.97	0.30778
293.00	175.00	644.67	0.34200
293.00	200.00	654.37	0.37722
293.00	225.00	663.27	0.41354
293.00	250.00	671.50	0.45105
293.00	275.00	679.17	0.48981
293.00	300.00	686.36	0.52989
293.00	325.00	693.14	0.57133
293.00	350.00	699.56	0.61417
293.00	375.00	705.66	0.65846
293.00	400.00	711.47	0.70425
293.00	425.00	717.03	0.75155
293.00	450.00	722.36	0.80042
293.00	475.00	727.48	0.85087
293.00	500.00	732.41	0.90295
293.00	525.00	737.16	0.95668
293.00	550.00	741.75	1.0121
293.00	575.00	746.19	1.0692
293.00	600.00	750.50	1.1281
293.00	625.00	754.67	1.1888
293.00	650.00	758.73	1.2512
293.00	675.00	762.68	1.3155
293.00	700.00	766.51	1.3817
293.00	725.00	770.26	1.4497
293.00	750.00	773.90	1.5197
293.00	775.00	777.46	1.5916
293.00	800.00	780.94	1.6655
293.00	825.00	784.34	1.7414
293.00	850.00	787.66	1.8193
293.00	875.00	790.91	1.8993
293.00	900.00	794.10	1.9813
293.00	925.00	797.22	2.0655
293.00	950.00	800.28	2.1519
293.00	975.00	803.28	2.2404
293.00	1000.0	806.23	2.3311
293.00	1025.0	809.12	2.4241
293.00	1050.0	811.96	2.5193
293.00	1075.0	814.75	2.6168
293.00	1100.0	817.49	2.7166
293.00	1125.0	820.19	2.8188
293.00	1150.0	822.84	2.9234
293.00	1175.0	825.46	3.0303
293.00	1200.0	828.03	3.1398
293.00	1225.0	830.56	3.2517
293.00	1250.0	833.06	3.3661
293.00	1275.0	835.51	3.4830
293.00	1300.0	837.94	3.6025
293.00	1325.0	840.33	3.7245
293.00	1350.0	842.68	3.8492
293.00	1375.0	845.01	3.9766
293.00	1400.0	847.30	4.1066
293.00	1425.0	849.56	4.2394
293.00	1450.0	851.80	4.3749
293.00	1475.0	854.00	4.5132
293.00	1500.0	856.18	4.6543
293.00	1525.0	858.33	4.7982
293.00	1550.0	860.46	4.9450
293.00	1575.0	862.56	5.0948
293.00	1600.0	864.63	5.2474
293.00	1625.0	866.69	5.4031
293.00	1650.0	868.71	5.5617
293.00	1675.0	870.72	5.7234
293.00	1700.0	872.71	5.8881
293.00	1725.0	874.67	6.0560
293.00	1750.0	876.61	6.2270
293.00	1775.0	878.53	6.4012
293.00	1800.0	880.43	6.5785
293.00	1825.0	882.32	6.7591
293.00	1850.0	884.18	6.9430
293.00	1875.0	886.02	7.1302
293.00	1900.0	887.85	7.3207
293.00	1925.0	889.66	7.5147
293.00	1950.0	891.45	7.7120
293.00	1975.0	893.23	7.9127
293.00	2000.0	894.99	8.1170
