T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
293.00	0.20000	653.43	0.29039
293.00	1.0000	654.33	0.29293
293.00	10.000	663.71	0.32160
293.00	20.000	672.86	0.35401
293.00	30.000	681.02	0.38731
293.00	40.000	688.41	0.42173
293.00	50.000	695.18	0.45743
293.00	60.000	701.45	0.49455
293.00	70.000	707.29	0.53321
293.00	80.000	712.78	0.57350
293.00	90.000	717.94	0.61554
293.00	100.00	722.84	0.65940
293.00	110.00	727.49	0.70517
293.00	120.00	731.92	0.75295
293.00	130.00	736.16	0.80283
293.00	140.00	740.22	0.85488
293.00	150.00	744.12	0.90921
293.00	160.00	747.88	0.96590
293.00	170.00	751.50	1.0250
293.00	180.00	754.99	1.0868
293.00	190.00	758.37	1.1511
293.00	200.00	761.65	1.2182
293.00	210.00	764.83	1.2882
293.00	220.00	767.91	1.3612
293.00	230.00	770.90	1.4373
293.00	240.00	773.82	1.5167
293.00	250.00	776.66	1.5993
293.00	260.00	779.42	1.6855
293.00	270.00	782.12	1.7753
293.00	280.00	784.75	1.8689
293.00	290.00	787.32	1.9664
293.00	300.00	789.84	2.0680
293.00	310.00	792.29	2.1739
293.00	320.00	794.70	2.2843
293.00	330.00	797.05	2.3993
293.00	340.00	799.36	2.5191
293.00	350.00	801.62	2.6440
293.00	360.00	803.84	2.7741
293.00	370.00	806.01	2.9098
293.00	380.00	808.15	3.0512
