T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
332.90	0.20000	3.2602	0.0090559
332.90	1.0000	18.176	0.0091669
332.90	10.000	467.57	0.082978
332.90	25.000	504.31	0.10576
332.90	50.000	539.95	0.13645
332.90	100.00	583.12	0.19138
332.90	150.00	612.24	0.24536
332.90	200.00	634.79	0.30104
332.90	250.00	653.44	0.35946
332.90	300.00	669.47	0.42117
332.90	350.00	683.60	0.48656
332.90	400.00	696.28	0.55591
332.90	450.00	707.82	0.62945
332.90	500.00	718.44	0.70737
332.90	550.00	728.28	0.78988
332.90	600.00	737.47	0.87712
332.90	650.00	746.10	0.96927
332.90	700.00	754.24	1.0665
332.90	750.00	761.96	1.1689
332.90	800.00	769.30	1.2767
332.90	850.00	776.30	1.3900
332.90	900.00	782.99	1.5090
332.90	950.00	789.41	1.6337
332.90	1000.0	795.58	1.7644
