T (K)	P (MPa)	rhol (kg/m3)	eta (cP)
390.37	0.20000	4.5842	0.0089821
390.37	1.0000	26.853	0.0092940
390.37	5.0000	478.20	0.10164
390.37	10.000	501.02	0.12017
390.37	15.000	517.31	0.13627
390.37	20.000	530.25	0.15120
390.37	25.000	541.09	0.16549
390.37	30.000	550.48	0.17939
390.37	35.000	558.81	0.19306
390.37	40.000	566.31	0.20660
390.37	45.000	573.15	0.22008
390.37	50.000	579.45	0.23356
390.37	55.000	585.30	0.24707
390.37	60.000	590.77	0.26064
390.37	65.000	595.90	0.27429
390.37	70.000	600.75	0.28804
390.37	75.000	605.34	0.30192
390.37	80.000	609.70	0.31593
390.37	85.000	613.86	0.33008
390.37	90.000	617.84	0.34439
390.37	95.000	621.66	0.35886
390.37	100.00	625.32	0.37350
